日期,測站,測項,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,平均
2017/06/08,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017/06/09,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017/06/10,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017/06/11,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017/06/12,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.0
2017/06/13,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.0
2017/06/14,沙鹿,RAINFALL,0,0,0,3.2,0.4,4,3.4,15,12,,3,1.6,0.6,11,30,9.2,8.6,12,0,0,0,0,0,0,5.0
2017/06/15,沙鹿,RAINFALL,0,0,0,0,0.4,2,5.8,5.2,8.2,1.4,4.8,,,,,,,,,,,,,,2.5
2017/06/16,沙鹿,RAINFALL,,,,,,,,,,,,,0,1.8,1.8,1.4,13,5.4,0.2,0,2.6,0.8,0,0,2.3
2017/06/17,沙鹿,RAINFALL,3.6,29,16,0.8,0.6,0.6,0,0.4,15,13,0,0,0,0.4,1.2,0.2,0,0,1.8,1.6,0,0,0,0,3.5
2017/06/18,沙鹿,RAINFALL,0,0,0,0.2,7.8,3.8,4.8,0.8,1.4,1.4,10,0,0.4,0.2,5.6,5,14,3.4,0.8,0,0,0,0.2,0,2.5
2017/06/19,沙鹿,RAINFALL,0,0,0,0,0,0.2,0.4,0,0,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2017/06/20,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017/06/21,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0
2017/06/22,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017/06/23,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017/06/24,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017/06/25,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017/06/26,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017/06/27,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0
2017/06/28,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017/06/29,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017/06/30,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,17,4.2,1.4,0.4,0,0,1.1
